plot_id,basal_area,aerial_biomass_total,trunk_bark_biomass,leaf_biomass,trunk_wood_biomass,branch_wo_leaves_biomass,basal_area_dec_dominant,density_dec_dominant,aerial_carbon_total,trunk_bark_carbon,accumulated_aerial_co2,dbh,density,basal_area_species_dominant,density_species_dominant,basal_area_genus_dominant,density_genus_dominant,over_bark_volume,coords_longitude,coords_latitude,admin_region,admin_municipality,topo_altitude_asl,clim_prec_year,clim_tmin_year
P_02703,19.7,78.57,11.13,2.45,45.88,19.11,Esclerofil·le,Esclerofil·le,39.44,6.17,144.6,22.73,485.67,Quercus suber,Quercus suber,Quercus,Quercus,96.84,2.49,41.75,Vallès Oriental,Gualba,328.66,787.4,8.3
P_02710,21.32,80.03,14.66,4.48,41.69,19.2,Caducifoli,Esclerofil·le,38.58,6.96,141.47,10.02,2705.63,Quercus humilis,Quercus ilex,Quercus,Quercus,74.39,2.53,41.74,Vallès Oriental,Gualba,188.86,778.4,8.7
P_02717,8.65,30.44,3.89,1.2,15.81,9.54,Esclerofil·le,Esclerofil·le,15.05,2.08,55.19,17.57,356.79,Quercus suber,Quercus suber,Quercus,Quercus,31.04,2.48,41.73,Vallès Oriental,Campins,306.7,800,8.4
P_02718,6.75,19.71,3.26,1,9.85,5.6,Esclerofil·le,Esclerofil·le,9.96,1.81,36.51,19.19,233.43,Quercus suber,Quercus suber,Quercus,Quercus,23.74,2.49,41.73,Vallès Oriental,Gualba,259.89,790.1,8.5
P_02719,7.3,25.44,5.34,0.94,14.46,4.69,Caducifoli,Caducifoli,12.27,2.62,45,9.86,954.93,Platanus hispanica,Platanus hispanica,Platanus,Platanus,35.45,2.51,41.73,Vallès Oriental,Gualba,168.66,772.2,8.8
P_02732,19.86,84.46,12.02,3.24,48.21,20.98,Conífera,Esclerofil·le,42.06,6.19,154.24,18.22,761.96,Pinus pinea,Quercus ilex,Quercus,Quercus,95.16,2.48,41.72,Vallès Oriental,Campins,291.7,814.5,8.3
P_02735,24.32,89.44,16.27,4.5,50.37,18.31,Conífera,Esclerofil·le,45.43,8.81,166.57,16.58,1125.83,Pinus pinaster,Quercus suber,Pinus,Quercus,124.54,2.49,41.72,Vallès Oriental,Gualba,270.56,807.8,8.4
P_02739,17.82,80.27,19.34,2.26,49.44,9.22,Caducifoli,Caducifoli,38.7,9.08,141.9,11.09,1846.2,Quercus humilis,Quercus humilis,Quercus,Quercus,93.17,2.59,41.72,Vallès Oriental,Sant Celoni,106.17,772.7,9.4
P_02754,25.71,98.77,17.54,4.81,55.68,20.74,Conífera,Conífera,50.42,9.47,184.86,26.14,479.02,Pinus pinaster,Quercus suber,Pinus,Pinus,139.03,2.48,41.71,Vallès Oriental,Sant Celoni,232.56,807.2,8.5
P_02755,22.06,102.27,14.47,3.38,61.84,22.59,Esclerofil·le,Caducifoli,49.4,7.03,181.14,16.99,972.61,Quercus petraea,Quercus petraea,Quercus,Quercus,100.92,2.49,41.71,Vallès Oriental,Sant Celoni,214.5,800.9,8.5
P_02757,26.73,125.14,18.83,4.16,73.55,28.6,Esclerofil·le,Esclerofil·le,60.41,9.08,221.51,15.33,1448.1,Quercus humilis,Quercus ilex,Quercus,Quercus,121.89,2.52,41.71,Vallès Oriental,Gualba,172.04,783.8,8.9
P_02758,11.38,49.27,7.35,1.33,29.33,11.26,Esclerofil·le,Esclerofil·le,23.98,3.74,87.93,20.1,358.77,Quercus suber,Quercus ilex,Quercus,Quercus,52.33,2.54,41.71,Vallès Oriental,Sant Celoni,119.77,773.5,9.2
P_02759,15.61,72.13,9.05,2.89,41.54,18.65,Esclerofil·le,Esclerofil·le,34.59,4.35,126.81,15.48,829.16,Quercus ilex,Quercus ilex,Quercus,Quercus,62.98,2.55,41.71,Vallès Oriental,Sant Celoni,137.44,779.7,9.2
P_02773,42.06,187.74,26.26,8.78,105.54,47.16,Conífera,Esclerofil·le,95.06,13.77,348.55,19.41,1421.78,Pinus pinea,Quercus ilex,Pinus,Quercus,224.1,2.49,41.7,Vallès Oriental,Sant Celoni,179.25,804.3,8.4
P_02775,25.92,107.29,13.58,5,60.8,27.91,Conífera,Esclerofil·le,53.72,7.04,196.96,15.31,1408.77,Pinus pinea,Arbutus unedo,Pinus,Arbutus,120.29,2.53,41.7,Vallès Oriental,Sant Celoni,157.57,792.1,8.9
P_02777,6.59,26.64,3.27,1.25,14.02,8.1,Esclerofil·le,Esclerofil·le,12.81,1.59,46.98,15.98,328.92,Quercus ilex,Quercus ilex,Quercus,Quercus,21.72,2.55,41.7,Vallès Oriental,Sant Celoni,208.1,803.5,9
P_02778,22.4,110.66,14.2,4.08,65.65,26.74,Esclerofil·le,Esclerofil·le,53.18,6.92,194.99,15.07,1255.13,Quercus ilex,Quercus ilex,Quercus,Quercus,101.63,2.57,41.7,Vallès Oriental,Sant Celoni,185.7,805.5,9.1
P_02793,17.03,53.61,8.01,2.56,27.24,15.8,Esclerofil·le,Esclerofil·le,26.51,4.33,97.2,16.25,820.53,Quercus suber,Quercus suber,Quercus,Quercus,56.52,2.54,41.69,Vallès Oriental,Sant Celoni,202.25,814.2,8.9
P_02794,28.87,108.98,13.67,4.31,60.49,30.5,Esclerofil·le,Esclerofil·le,54.51,7.42,199.89,23.34,674.68,Pinus pinea,Pinus pinea,Quercus,Quercus,121.48,2.55,41.69,Vallès Oriental,Sant Celoni,250.33,816.7,9
P_02795,14.13,38.51,5.3,1.89,19.16,12.15,Esclerofil·le,Esclerofil·le,18.89,2.86,69.26,14.68,834.68,Quercus suber,Arbutus unedo,Quercus,Arbutus,38.08,2.57,41.69,Vallès Oriental,Sant Celoni,326.22,836.9,8.8
P_02812,18.72,58.53,8.32,1.94,31.67,16.61,Esclerofil·le,Esclerofil·le,29.22,4.69,107.13,22.69,462.89,Quercus suber,Quercus suber,Quercus,Quercus,67.66,2.54,41.68,Vallès Oriental,Sant Celoni,307.85,849.2,8.7
P_02813,15.28,72.12,6.6,1.47,48.08,15.97,Esclerofil·le,Esclerofil·le,35.03,3.65,128.44,28.83,234.13,Quercus suber,Quercus suber,Quercus,Quercus,77.84,2.55,41.68,Vallès Oriental,Sant Celoni,353.91,851.3,8.8
P_02815,14.17,73.74,8.21,2.7,44.25,18.59,Esclerofil·le,Esclerofil·le,35.36,3.94,129.67,15.61,740.74,Quercus ilex,Quercus ilex,Quercus,Quercus,64.33,2.58,41.68,Vallès Oriental,Sant Celoni,248.93,814.7,9.4
P_02816,30.78,152.58,19.35,4.87,93.61,34.75,Conífera,Esclerofil·le,76.65,10.35,281.05,25.51,601.96,Pinus pinea,Quercus ilex,Pinus,Quercus,186.09,2.59,41.68,Vallès Oriental,Sant Celoni,247.96,821,9.3
P_02826,41.5,178.62,27.09,7.02,103.56,40.96,Esclerofil·le,Esclerofil·le,86.12,13.15,315.78,13.43,2930.01,Quercus humilis,Quercus ilex,Quercus,Quercus,175.6,2.52,41.67,Vallès Oriental,Sant Celoni,260.16,834,8.8
P_02828,17.45,60.36,8.24,2.04,34,16.07,Esclerofil·le,Esclerofil·le,29.49,4.45,108.12,18.48,650.77,Quercus suber,Quercus suber,Quercus,Quercus,62.71,2.53,41.67,Vallès Oriental,Sant Celoni,429.59,870.5,8.5
P_02829,17.7,64.79,7.9,3.06,33.85,19.99,Esclerofil·le,Esclerofil·le,31.36,4.07,114.99,15.71,912.49,Quercus ilex,Quercus ilex,Quercus,Quercus,57.07,2.54,41.67,Vallès Oriental,Sant Celoni,311.19,852,8.9
P_02832,21.25,78.82,9.92,3.33,48.41,17.16,Caducifoli,Caducifoli,38.05,4.86,139.53,11.87,1920.47,Castanea sativa,Castanea sativa,Castanea,Castanea,93.29,2.58,41.68,Vallès Oriental,Sant Celoni,325.32,841.4,9.1
P_02834,15.81,65.69,7.5,3.02,35.67,19.5,Esclerofil·le,Esclerofil·le,31.55,3.69,115.69,14.13,1007.98,Quercus ilex,Quercus ilex,Quercus,Quercus,54.65,2.6,41.67,Vallès Oriental,Sant Celoni,340.64,854.9,9
P_04463,30.4,125.49,16.43,5.34,68.32,35.39,Conífera,Conífera,64.03,8.76,234.79,25.16,611.44,Pinus pinea,Pinus pinea,Pinus,Pinus,150.48,2.45,41.66,Vallès Oriental,Santa Maria de Palautordera,242.52,803.2,8.6
P_03171,0.76,1.7,0.23,0.09,0.65,0.73,Conífera,Conífera,0.86,0.12,3.16,17.4,31.83,Pinus halepensis,Pinus halepensis,Pinus,Pinus,1.57,1.91,41.66,Vallès Occidental,Rellinars,401.28,627.6,7.8
P_03182,39.03,169.71,18.88,9.35,87.65,53.83,Esclerofil·le,Esclerofil·le,81.16,8.89,297.59,13.38,2776.37,Quercus ilex,Quercus ilex,Quercus,Quercus,125.86,2.01,41.66,Vallès Occidental,Sant Llorenç Savall,961.54,831.3,5.9
P_03183,25.74,126.45,14.33,5.51,68.2,38.41,Esclerofil·le,Esclerofil·le,61.04,6.89,223.81,15.01,1454.75,Quercus ilex,Quercus ilex,Quercus,Quercus,105.07,2.03,41.66,Vallès Occidental,Sant Llorenç Savall,599.46,724.2,7.2
P_03184,35.92,162.88,22.1,4.36,89.08,47.35,Conífera,Conífera,82.43,11.69,302.24,22.37,913.62,Pinus halepensis,Pinus halepensis,Pinus,Pinus,194.79,2.04,41.66,Vallès Occidental,Sant Llorenç Savall,573.16,712.7,7.4
P_03187,19.74,94.07,12.14,3.01,52.47,26.46,Conífera,Esclerofil·le,46.82,6.25,171.69,17.66,806.39,Pinus halepensis,Quercus ilex,Pinus,Quercus,103.01,2.07,41.66,Vallès Occidental,Castellar del Vallès,538.73,721.2,7.3
P_03192,9.08,44.47,6.49,1.06,25.72,11.19,Conífera,Conífera,22.48,3.43,82.41,23.54,208.67,Pinus halepensis,Pinus halepensis,Pinus,Pinus,56.35,2.12,41.66,Vallès Oriental,Caldes de Montbui,483.64,727.5,7.3
P_03193,20.94,89.42,11.29,2.46,45.79,29.88,Conífera,Conífera,45.16,5.95,165.59,28.34,332.03,Pinus halepensis,Pinus halepensis,Pinus,Pinus,98.96,2.13,41.66,Vallès Oriental,Caldes de Montbui,662.31,777.2,6.7
P_03199,13.95,53.13,6.38,2.45,26.87,17.43,Esclerofil·le,Esclerofil·le,26.05,3.2,95.52,16.43,657.84,Pinus halepensis,Quercus ilex,Pinus,Quercus,47.9,1.93,41.65,Vallès Occidental,Rellinars,494.3,665.8,7.7
P_03205,1.16,1.79,0.43,0.46,0.26,0.64,Conífera,Conífera,0.93,0.23,3.39,7.63,254.65,Juniperus phoenicea,Juniperus phoenicea,Juniperus,Juniperus,1.54,1.99,41.65,Vallès Occidental,Matadepera,869.08,788.5,6.4
P_03207,27.27,119.34,16.3,4.13,64.63,34.28,Conífera,Conífera,59.7,8.45,218.9,15.11,1521.52,Pinus halepensis,Pinus halepensis,Pinus,Pinus,133.51,2.03,41.65,Vallès Occidental,Matadepera,564.83,722.3,7.3
